artist,song,duration_ms,explicit,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre,artist_song
MGMT,Time to Pretend,261000,True,2007,71,0.438,0.94,2,-3.249,1,0.0452,8.74e-05,0.0777,0.3,0.421,100.99,rock,"MGMT, Time to Pretend"
The Bloody Beetroots,Warp 1.9,202880,False,2009,0,0.653,0.612,6,-5.608,0,0.254,0.00104,0.743,0.0413,0.349,130.091,dub,"The Bloody Beetroots, Warp 1.9"
The Bloody Beetroots,Warp 1.9,202880,False,2009,0,0.653,0.612,6,-5.608,0,0.254,0.00104,0.743,0.0413,0.349,130.091,electronic,"The Bloody Beetroots, Warp 1.9"
The Bloody Beetroots,Warp 1.9,202880,False,2009,0,0.653,0.612,6,-5.608,0,0.254,0.00104,0.743,0.0413,0.349,130.091,techno,"The Bloody Beetroots, Warp 1.9"
Guns N' Roses,Welcome To The Jungle,271867,False,2004,0,0.456,0.978,10,-4.869,0,0.112,0.0301,0.499,0.313,0.327,123.411,rock,"Guns N' Roses, Welcome To The Jungle"
Guns N' Roses,Welcome To The Jungle,272027,True,1987,76,0.447,0.954,8,-8.069,1,0.0751,0.0235,0.403,0.298,0.331,123.453,rock,"Guns N' Roses, Welcome To The Jungle"
Fritz Kalkbrenner,Wes,436180,False,2012,0,0.719,0.712,6,-7.173,1,0.0764,0.00494,0.806,0.141,0.145,125.437,deep-house,"Fritz Kalkbrenner, Wes"
Fritz Kalkbrenner,Wes,436180,False,2012,0,0.719,0.712,6,-7.173,1,0.0764,0.00494,0.806,0.141,0.145,125.437,techno,"Fritz Kalkbrenner, Wes"
Sublime,What I Got,171080,True,1996,0,0.79,0.687,7,-7.571,1,0.101,0.0149,0.000319,0.323,0.628,95.578,punk,"Sublime, What I Got"
Sublime,What I Got,171067,True,1996,0,0.795,0.706,7,-7.494,1,0.101,0.0172,0.000384,0.326,0.623,95.593,punk-rock,"Sublime, What I Got"
Sublime,What I Got,171067,True,1996,0,0.795,0.706,7,-7.494,1,0.101,0.0172,0.000384,0.326,0.623,95.593,ska,"Sublime, What I Got"
Mumford & Sons,White Blank Page,253107,False,2009,0,0.324,0.398,6,-9.811,0,0.0352,0.212,3e-05,0.692,0.299,113.165,acoustic,"Mumford & Sons, White Blank Page"
Mumford & Sons,White Blank Page,253107,False,2009,0,0.324,0.398,6,-9.811,0,0.0352,0.212,3e-05,0.692,0.299,113.165,bluegrass,"Mumford & Sons, White Blank Page"
Mumford & Sons,White Blank Page,253107,False,2009,0,0.324,0.398,6,-9.811,0,0.0352,0.212,3e-05,0.692,0.299,113.165,folk,"Mumford & Sons, White Blank Page"
Disclosure,White Noise,277688,False,2013,0,0.665,0.844,10,-6.164,0,0.0501,0.00963,0.000215,0.311,0.902,119.978,house pop edm,"Disclosure, White Noise"
Disclosure,White Noise,340268,False,2013,0,0.701,0.884,10,-7.338,0,0.0546,0.00537,0.0011,0.402,0.831,120.002,house pop edm,"Disclosure, White Noise"
Cream,White Room,298227,False,1995,0,0.555,0.576,0,-13.451,1,0.0295,0.178,0.00459,0.0419,0.495,109.833,rock,"Cream, White Room"
Cream,White Room,298373,False,2005,35,0.551,0.605,0,-12.7,1,0.0297,0.168,0.00573,0.0562,0.497,109.823,rock,"Cream, White Room"
YG,Who Do You Love?,233507,True,2014,0,0.676,0.415,9,-9.752,1,0.508,0.0281,0.0,0.0915,0.146,193.206,hip-hop,"YG, Who Do You Love?"
YG,Who Do You Love?,233507,True,2014,0,0.676,0.415,9,-9.752,1,0.508,0.0281,0.0,0.0915,0.146,193.206,pop,"YG, Who Do You Love?"
In This Moment,Whore,245533,False,2012,0,0.604,0.883,11,-3.821,0,0.047,0.0254,0.0,0.0813,0.544,90.001,hard-rock,"In This Moment, Whore"
In This Moment,Whore,245533,False,2012,0,0.604,0.883,11,-3.821,0,0.047,0.0254,0.0,0.0813,0.544,90.001,metal,"In This Moment, Whore"
Pendulum,Witchcraft,252960,False,2010,36,0.432,0.969,1,-3.131,1,0.0599,2.92e-05,0.00768,0.385,0.218,174.031,dub,"Pendulum, Witchcraft"
Pendulum,Witchcraft,252960,False,2010,36,0.432,0.969,1,-3.131,1,0.0599,2.92e-05,0.00768,0.385,0.218,174.031,house,"Pendulum, Witchcraft"
Creed,With Arms Wide Open,274800,False,1999,64,0.41,0.539,0,-8.412,1,0.0302,0.00425,0.00089,0.117,0.141,138.852,rock,"Creed, With Arms Wide Open"
Creed,With Arms Wide Open,278440,False,2004,0,0.414,0.525,0,-8.436,1,0.0302,0.00312,0.0011,0.149,0.145,138.869,rock,"Creed, With Arms Wide Open"
Omnitica,Yo! Ho! And a Bottle of Bass!,384035,False,2011,30,0.3,0.645,7,-5.683,1,0.0544,0.00647,0.796,0.0849,0.125,145.053,dub,"Omnitica, Yo! Ho! And a Bottle of Bass!"
Omnitica,Yo! Ho! And a Bottle of Bass!,384035,False,2011,30,0.3,0.645,7,-5.683,1,0.0544,0.00647,0.796,0.0849,0.125,145.053,dubstep,"Omnitica, Yo! Ho! And a Bottle of Bass!"
Bon Jovi,You Give Love A Bad Name,223147,False,2010,0,0.533,0.963,0,-2.528,0,0.0562,0.0353,1.33e-06,0.368,0.789,122.812,rock,"Bon Jovi, You Give Love A Bad Name"
Bon Jovi,You Give Love A Bad Name,222707,False,1986,0,0.537,0.959,0,-3.002,0,0.0557,0.0704,1.8e-06,0.382,0.828,122.806,rock,"Bon Jovi, You Give Love A Bad Name"
Bon Jovi,You Give Love A Bad Name,223147,False,2010,2,0.53,0.964,0,-2.571,0,0.0553,0.0528,4.84e-06,0.372,0.823,122.807,rock,"Bon Jovi, You Give Love A Bad Name"
John Travolta,"You're The One That I Want - From ""Grease"" Original Motion Picture Soundtrack",168467,False,2003,0,0.751,0.753,0,-8.198,1,0.0935,0.227,0.000784,0.209,0.774,106.976,disco,"John Travolta, You're The One That I Want - From ""Grease"" Original Motion Picture Soundtrack"
John Travolta,"You're The One That I Want - From ""Grease"" Original Motion Picture Soundtrack",168467,False,2003,0,0.751,0.753,0,-8.198,1,0.0935,0.227,0.000784,0.209,0.774,106.976,rockabilly,"John Travolta, You're The One That I Want - From ""Grease"" Original Motion Picture Soundtrack"
The Naked And Famous,Young Blood,246600,False,2010,67,0.579,0.865,6,-4.692,1,0.0302,5.63e-05,0.000221,0.649,0.358,104.99,indie-pop,"The Naked And Famous, Young Blood"
The Naked And Famous,Young Blood,246600,False,2010,67,0.579,0.865,6,-4.692,1,0.0302,5.63e-05,0.000221,0.649,0.358,104.99,synth-pop,"The Naked And Famous, Young Blood"
