artist,song,duration_ms,explicit,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre,artist_song
Guns N' Roses,November Rain,537507,False,1991,0,0.197,0.629,11,-9.291,1,0.03,0.0165,0.279,0.125,0.221,79.495,rock,"Guns N' Roses, November Rain"
Ben Klock,October,524811,False,2008,0,0.825,0.533,8,-11.363,1,0.128,0.00261,0.783,0.108,0.749,126.003,minimal-techno,"Ben Klock, October"
Ben Klock,October,524811,False,2008,0,0.825,0.533,8,-11.363,1,0.128,0.00261,0.783,0.108,0.749,126.003,techno,"Ben Klock, October"
Hawthorne Heights,Ohio Is for Lovers,244480,False,2004,1,0.568,0.835,8,-6.896,0,0.0687,0.0411,0.0,0.357,0.625,170.045,emo,"Hawthorne Heights, Ohio Is for Lovers"
Hawthorne Heights,Ohio Is for Lovers,244480,False,2004,1,0.568,0.835,8,-6.896,0,0.0687,0.0411,0.0,0.357,0.625,170.045,punk,"Hawthorne Heights, Ohio Is for Lovers"
Imagine Dragons,On Top Of The World,189840,False,2012,0,0.507,0.923,0,-5.581,1,0.173,0.0818,4.63e-06,0.0951,0.768,99.252,rock,"Imagine Dragons, On Top Of The World"
Imagine Dragons,On Top Of The World,189840,False,2012,57,0.635,0.926,0,-5.589,1,0.151,0.0893,4.53e-06,0.0928,0.761,100.048,rock,"Imagine Dragons, On Top Of The World"
Within Temptation,Paradise (What About Us?) [Feat. Tarja],319688,False,2014,0,0.461,0.928,4,-3.542,0,0.0697,0.000583,0.0012,0.615,0.428,135.03,hard-rock,"Within Temptation, Paradise (What About Us?) [Feat. Tarja]"
Within Temptation,Paradise (What About Us?) [Feat. Tarja],319688,False,2014,0,0.461,0.928,4,-3.542,0,0.0697,0.000583,0.0012,0.615,0.428,135.03,metal,"Within Temptation, Paradise (What About Us?) [Feat. Tarja]"
Incubus,Pardon Me,223747,False,1999,67,0.579,0.812,1,-6.509,0,0.0693,0.00114,0.00333,0.115,0.278,152.002,rock,"Incubus, Pardon Me"
Incubus,Pardon Me,223733,False,1999,0,0.582,0.817,1,-6.489,0,0.0631,0.000988,0.0139,0.129,0.28,152.018,rock,"Incubus, Pardon Me"
Depeche Mode,Personal Jesus,225040,False,2006,54,0.687,0.852,11,-5.538,1,0.0351,0.104,0.00866,0.0596,0.766,129.981,goth,"Depeche Mode, Personal Jesus"
Depeche Mode,Personal Jesus,225040,False,2006,54,0.687,0.852,11,-5.538,1,0.0351,0.104,0.00866,0.0596,0.766,129.981,industrial,"Depeche Mode, Personal Jesus"
